"review_id","star_rating","helpful_votes","total_votes","vine","verified_purchase"
"RMDCHWD0Y5OZ9",3,0,1,"N","N"
"RZSL0BALIYUNU",5,0,0,"N","Y"
"RIZR67JKUDBI0",3,0,1,"N","Y"
"R27HL570VNL85F",5,0,0,"N","Y"
"R34EBU9QDWJ1GD",5,0,0,"N","Y"
"R1WCUI4Z1SIQEO",5,0,0,"N","N"
"RL5LNO26GAVJ1",2,3,4,"N","Y"
"R3GYQ5W8JHP8SB",5,0,0,"N","Y"
"R30SHYQXGG5EYC",5,0,0,"N","Y"
"R14YLXA56NP51I",5,1,1,"N","N"
"R1ZH0HSH38IOTZ",5,0,0,"N","Y"
"R3H53KLLC210XI",4,0,0,"N","Y"
"R3OOR877NGA8JK",3,0,0,"N","Y"
"R1BY7WKOZ3KMH0",2,0,0,"N","Y"
"RXP1TFSWE8EG9",5,0,0,"N","Y"
"R3J44DPP12OTLJ",5,0,0,"N","Y"
"RFOV69SK0T676",5,0,0,"N","Y"
"R2HUWDNW62FOL3",1,0,0,"N","Y"
"R1KSU30XZGR452",5,0,0,"N","Y"
"R2TZVLLTSHA07N",5,1,1,"N","Y"
"R3KZ28CSDS9MGN",5,0,0,"N","Y"
"R2EFSVA4ZDWLN4",5,2,2,"N","Y"
"R31OIOD3CP2FB1",4,0,0,"N","Y"
"R1EPGPK802HBSK",5,0,0,"N","Y"
"RJIPC1X7LJ1RF",5,0,0,"N","Y"
"RXFHC5IFO5BET",5,0,0,"N","Y"
"R1PSW5Q2ZI7JPR",5,0,0,"N","Y"
"RI6D52OHNYO87",5,0,0,"N","Y"
"R2243Y3OD8U6KQ",5,47,61,"N","N"
"R2GPVNRM9FUTW0",5,0,0,"N","Y"
"RJ6YBGYWWOCZL",5,0,0,"N","Y"
"RL50SZFXKRN9Q",5,0,0,"N","Y"
"RJMIT0E07KV7O",5,0,0,"N","Y"
"R13AW8Z4UAW5GZ",5,0,0,"N","Y"
"R2B6GXRIOTPE1I",5,0,1,"N","Y"
"R1EKCJCQOOT10",5,0,0,"N","Y"
"RUPNDVAV1ESYP",1,0,0,"N","Y"
"RDVKBIQJA4QC1",5,0,0,"N","Y"
"R186GQHUT0XB8Y",5,0,0,"N","Y"
"RRP8EZ83V19SX",5,0,0,"N","Y"
"R3DMITMQKN72XW",1,0,0,"N","Y"
"R3CWA176X3NQFI",5,0,0,"N","Y"
"R3QZ914CIV184O",4,0,0,"N","Y"
"RZKKBS6QGHU1E",4,0,0,"N","Y"
"R1BLON1O1WKBQP",5,0,0,"N","Y"
"R1G8LGJMUY210N",5,1,2,"N","Y"
"RQUZHB9KARAAG",4,0,0,"N","Y"
"R37J2YQ4RJ6WPB",5,0,0,"N","Y"
"R6OMNRCSWY3LQ",4,0,0,"N","Y"
"R1QAINGJUT77C3",5,0,0,"N","Y"
"RMRLWXGXOEBIL",5,0,0,"N","Y"
"R1YJXOSQ36ZOR9",5,1,1,"N","N"
"R2I07KY4AUAUGS",5,0,0,"N","Y"
"R3QLFND7MRFFDW",1,0,0,"N","Y"
"R1J5YQZQDV8LYV",3,0,0,"N","Y"
"R2N29Z13SBTWB0",5,1,1,"N","Y"
"RJGV4OF6XACOB",3,0,0,"N","Y"
"R2XO17USBKHLKV",5,0,0,"N","Y"
